student_id,semester,course_code,course_name,credits,course_category,marks,attendance_percent,grade,grade_point,status,attempt_number
STU0002,6,CSE 151A,Introduction to Machine Learning,4,ai,72,97,B,3.0,current,1
STU0002,6,MATH 181A,Introduction to Mathematical Statistics I,4,math,79,92,B+,3.3,current,1
STU0003,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,95,82,A+,4.0,completed,1
STU0003,1,CSE 5A,Introduction to Programming I,4,core,88,88,A,4.0,completed,1
STU0003,1,MATH 18,Linear Algebra,4,math,82,97,A-,3.7,completed,1
STU0003,1,MATH 20A,Calculus for Science and Engineering,4,math,71,86,B,3.0,completed,1
STU0003,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,94,74,A+,4.0,completed,1
STU0003,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,75,76,B+,3.3,completed,1
STU0003,2,CSE 20,Discrete Mathematics,4,math,67,75,B-,2.7,completed,1
STU0003,2,CSE 21,Mathematics for Algorithms and Systems,4,core,77,72,B+,3.3,completed,1
STU0003,2,MATH 20B,Calculus for Science and Engineering,4,math,86,83,A,4.0,completed,1
STU0003,3,CSE 100,Advanced Data Structures,4,core,61,87,C+,2.3,completed,1
STU0003,3,CSE 30,Computer Organization and Systems Programming,4,core,84,76,A-,3.7,completed,1
STU0003,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,98,100,A+,4.0,completed,1
STU0003,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,83,92,A-,3.7,completed,1
STU0003,4,CSE 101,Design and Analysis of Algorithms,4,core,75,83,B+,3.3,current,1
STU0003,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,73,81,B,3.0,current,1
STU0003,4,CSE 110,Software Engineering,4,core,90,86,A+,4.0,current,1
STU0003,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,79,75,B+,3.3,current,1
STU0004,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,69,76,B-,2.7,completed,1
STU0004,1,CSE 5A,Introduction to Programming I,4,core,86,86,A,4.0,completed,1
STU0004,1,MATH 18,Linear Algebra,4,math,85,75,A,4.0,completed,1
STU0004,1,MATH 20A,Calculus for Science and Engineering,4,math,97,76,A+,4.0,completed,1
STU0004,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,76,83,B+,3.3,completed,1
STU0004,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,72,87,B,3.0,completed,1
STU0004,2,CSE 20,Discrete Mathematics,4,math,92,84,A+,4.0,completed,1
STU0004,2,CSE 21,Mathematics for Algorithms and Systems,4,core,73,72,B,3.0,completed,1
STU0004,2,MATH 20B,Calculus for Science and Engineering,4,math,66,85,B-,2.7,completed,1
STU0004,3,CSE 100,Advanced Data Structures,4,core,81,97,A-,3.7,completed,1
STU0004,3,CSE 30,Computer Organization and Systems Programming,4,core,74,93,B,3.0,completed,1
STU0004,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,89,85,A,4.0,completed,1
STU0004,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,76,86,B+,3.3,completed,1
STU0004,4,CSE 101,Design and Analysis of Algorithms,4,core,65,98,B-,2.7,current,1
STU0004,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,79,72,B+,3.3,current,1
STU0004,4,CSE 110,Software Engineering,4,core,93,81,A+,4.0,current,1
STU0004,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,74,96,B,3.0,current,1
STU0005,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,88,82,A,4.0,completed,1
STU0005,1,CSE 5A,Introduction to Programming I,4,core,64,74,C+,2.3,completed,1
STU0005,1,MATH 18,Linear Algebra,4,math,74,74,B,3.0,completed,1
STU0005,1,MATH 20A,Calculus for Science and Engineering,4,math,81,63,A-,3.7,completed,1
STU0005,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,72,90,B,3.0,completed,1
STU0005,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,63,82,C+,2.3,completed,1
STU0005,2,CSE 20,Discrete Mathematics,4,math,87,80,A,4.0,completed,1
STU0005,2,CSE 21,Mathematics for Algorithms and Systems,4,core,70,79,B,3.0,completed,1
STU0005,2,MATH 20B,Calculus for Science and Engineering,4,math,84,86,A-,3.7,completed,1
STU0005,3,CSE 100,Advanced Data Structures,4,core,77,100,B+,3.3,current,1
STU0005,3,CSE 30,Computer Organization and Systems Programming,4,core,65,82,B-,2.7,current,1
STU0005,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,77,83,B+,3.3,current,1
STU0005,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,69,80,B-,2.7,current,1
STU0006,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,70,63,B,3.0,completed,1
STU0006,1,CSE 5A,Introduction to Programming I,4,core,75,66,B+,3.3,completed,1
STU0006,1,MATH 18,Linear Algebra,4,math,71,74,B,3.0,completed,1
STU0006,1,MATH 20A,Calculus for Science and Engineering,4,math,74,73,B,3.0,completed,1
STU0006,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,63,100,C+,2.3,completed,1
STU0006,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,64,72,C+,2.3,completed,1
STU0006,2,CSE 20,Discrete Mathematics,4,math,79,98,B+,3.3,completed,1
STU0006,2,CSE 21,Mathematics for Algorithms and Systems,4,core,92,100,A+,4.0,completed,1
STU0006,2,MATH 20B,Calculus for Science and Engineering,4,math,65,79,B-,2.7,completed,1
STU0006,3,CSE 100,Advanced Data Structures,4,core,64,80,C+,2.3,current,1
STU0006,3,CSE 30,Computer Organization and Systems Programming,4,core,73,81,B,3.0,current,1
STU0006,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,83,86,A-,3.7,current,1
STU0006,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,67,80,B-,2.7,current,1
STU0007,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,79,83,B+,3.3,completed,1
STU0007,1,CSE 5A,Introduction to Programming I,4,core,93,87,A+,4.0,completed,1
STU0007,1,MATH 18,Linear Algebra,4,math,78,100,B+,3.3,completed,1
STU0007,1,MATH 20A,Calculus for Science and Engineering,4,math,72,86,B,3.0,completed,1
STU0007,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,72,73,B,3.0,completed,1
STU0007,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,89,86,A,4.0,completed,1
STU0007,2,CSE 20,Discrete Mathematics,4,math,68,79,B-,2.7,completed,1
STU0007,2,CSE 21,Mathematics for Algorithms and Systems,4,core,83,68,A-,3.7,completed,1
STU0007,2,MATH 20B,Calculus for Science and Engineering,4,math,87,88,A,4.0,completed,1
STU0007,3,CSE 100,Advanced Data Structures,4,core,92,60,A+,4.0,completed,1
STU0007,3,CSE 30,Computer Organization and Systems Programming,4,core,76,85,B+,3.3,completed,1
STU0007,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,76,82,B+,3.3,completed,1
STU0007,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,81,84,A-,3.7,completed,1
STU0007,4,CSE 101,Design and Analysis of Algorithms,4,core,81,80,A-,3.7,completed,1
STU0007,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,76,85,B+,3.3,completed,1
STU0007,4,CSE 110,Software Engineering,4,core,63,86,C+,2.3,completed,1
STU0007,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,94,70,A+,4.0,completed,1
STU0007,5,CSE 120,Principles of Computer Operating Systems,4,systems,84,73,A-,3.7,current,1
STU0007,5,CSE 130,Programming Languages: Principles and Paradigms,4,systems,73,77,B,3.0,current,1
STU0007,5,CSE 132A,Database System Principles,4,database,82,99,A-,3.7,current,1
STU0007,5,DSC 80,The Practice and Application of Data Science,4,data,94,94,A+,4.0,current,1
STU0007,5,MATH 183,Statistical Methods,4,math,82,91,A-,3.7,current,1
STU0008,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,68,79,B-,2.7,completed,1
STU0008,1,CSE 5A,Introduction to Programming I,4,core,79,73,B+,3.3,completed,1
STU0008,1,MATH 18,Linear Algebra,4,math,72,74,B,3.0,completed,1
STU0008,1,MATH 20A,Calculus for Science and Engineering,4,math,92,89,A+,4.0,completed,1
STU0008,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,73,86,B,3.0,completed,1
STU0008,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,89,89,A,4.0,completed,1
STU0008,2,CSE 20,Discrete Mathematics,4,math,93,65,A+,4.0,completed,1
STU0008,2,CSE 21,Mathematics for Algorithms and Systems,4,core,58,86,C,2.0,completed,1
STU0008,2,MATH 20B,Calculus for Science and Engineering,4,math,79,87,B+,3.3,completed,1
STU0008,3,CSE 100,Advanced Data Structures,4,core,74,91,B,3.0,completed,1
STU0008,3,CSE 30,Computer Organization and Systems Programming,4,core,82,91,A-,3.7,completed,1
STU0008,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,64,97,C+,2.3,completed,1
STU0008,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,73,89,B,3.0,completed,1
STU0008,4,CSE 101,Design and Analysis of Algorithms,4,core,81,86,A-,3.7,completed,1
STU0008,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,88,86,A,4.0,completed,1
STU0008,4,CSE 110,Software Engineering,4,core,71,82,B,3.0,completed,1
STU0008,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,77,87,B+,3.3,completed,1
STU0008,5,CSE 120,Principles of Computer Operating Systems,4,systems,88,91,A,4.0,current,1
STU0008,5,CSE 123,Computer Networks,4,networks,86,84,A,4.0,current,1
STU0008,5,CSE 130,Programming Languages: Principles and Paradigms,4,systems,84,100,A-,3.7,current,1
STU0008,5,CSE 132A,Database System Principles,4,database,77,66,B+,3.3,current,1
STU0008,5,MATH 183,Statistical Methods,4,math,93,79,A+,4.0,current,1
STU0009,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,85,87,A,4.0,completed,1
STU0009,1,CSE 5A,Introduction to Programming I,4,core,84,91,A-,3.7,completed,1
STU0009,1,MATH 18,Linear Algebra,4,math,80,80,A-,3.7,completed,1
STU0009,1,MATH 20A,Calculus for Science and Engineering,4,math,67,63,B-,2.7,completed,1
STU0009,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,81,91,A-,3.7,completed,1
STU0009,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,82,89,A-,3.7,completed,1
STU0009,2,CSE 20,Discrete Mathematics,4,math,76,89,B+,3.3,completed,1
STU0009,2,CSE 21,Mathematics for Algorithms and Systems,4,core,74,83,B,3.0,completed,1
STU0009,2,MATH 20B,Calculus for Science and Engineering,4,math,82,92,A-,3.7,completed,1
STU0009,3,CSE 100,Advanced Data Structures,4,core,59,78,C,2.0,current,1
STU0009,3,CSE 30,Computer Organization and Systems Programming,4,core,68,71,B-,2.7,current,1
STU0009,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,87,66,A,4.0,current,1
STU0009,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,78,83,B+,3.3,current,1
STU0010,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,79,76,B+,3.3,completed,1
STU0010,1,CSE 5A,Introduction to Programming I,4,core,86,99,A,4.0,completed,1
STU0010,1,MATH 18,Linear Algebra,4,math,70,80,B,3.0,completed,1
STU0010,1,MATH 20A,Calculus for Science and Engineering,4,math,73,70,B,3.0,completed,1
STU0010,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,66,87,B-,2.7,completed,1
STU0010,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,69,88,B-,2.7,completed,1
STU0010,2,CSE 20,Discrete Mathematics,4,math,73,74,B,3.0,completed,1
STU0010,2,CSE 21,Mathematics for Algorithms and Systems,4,core,77,67,B+,3.3,completed,1
STU0010,2,MATH 20B,Calculus for Science and Engineering,4,math,87,78,A,4.0,completed,1
STU0010,3,CSE 100,Advanced Data Structures,4,core,75,70,B+,3.3,completed,1
STU0010,3,CSE 30,Computer Organization and Systems Programming,4,core,82,95,A-,3.7,completed,1
STU0010,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,77,86,B+,3.3,completed,1
STU0010,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,72,87,B,3.0,completed,1
STU0010,4,CSE 101,Design and Analysis of Algorithms,4,core,88,87,A,4.0,completed,1
STU0010,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,88,80,A,4.0,completed,1
STU0010,4,CSE 110,Software Engineering,4,core,77,87,B+,3.3,completed,1
STU0010,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,96,100,A+,4.0,completed,1
STU0010,5,CSE 120,Principles of Computer Operating Systems,4,systems,70,81,B,3.0,completed,1
STU0010,5,CSE 123,Computer Networks,4,networks,96,93,A+,4.0,completed,1
STU0010,5,CSE 132A,Database System Principles,4,database,60,73,C+,2.3,completed,1
STU0010,5,DSC 80,The Practice and Application of Data Science,4,data,71,69,B,3.0,completed,1
STU0010,5,MATH 183,Statistical Methods,4,math,70,87,B,3.0,completed,1
STU0010,6,CSE 105,Theory of Computability,4,systems,89,89,A,4.0,current,1
STU0010,6,CSE 132B,Database Systems Applications,4,database,68,83,B-,2.7,current,1
STU0010,6,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,4,ai,74,82,B,3.0,current,1
STU0010,6,CSE 151A,Introduction to Machine Learning,4,ai,70,76,B,3.0,current,1
STU0010,6,MATH 181A,Introduction to Mathematical Statistics I,4,math,98,85,A+,4.0,current,1
STU0011,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,66,82,B-,2.7,completed,1
STU0011,1,CSE 5A,Introduction to Programming I,4,core,76,72,B+,3.3,completed,1
STU0011,1,MATH 18,Linear Algebra,4,math,95,93,A+,4.0,completed,1
STU0011,1,MATH 20A,Calculus for Science and Engineering,4,math,64,72,C+,2.3,completed,1
STU0011,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,56,81,C,2.0,completed,1
STU0011,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,98,89,A+,4.0,completed,1
STU0011,2,CSE 20,Discrete Mathematics,4,math,83,85,A-,3.7,completed,1
STU0011,2,CSE 21,Mathematics for Algorithms and Systems,4,core,77,90,B+,3.3,completed,1
STU0011,2,MATH 20B,Calculus for Science and Engineering,4,math,68,83,B-,2.7,completed,1
STU0011,3,CSE 100,Advanced Data Structures,4,core,74,77,B,3.0,completed,1
STU0011,3,CSE 30,Computer Organization and Systems Programming,4,core,90,100,A+,4.0,completed,1
STU0011,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,88,79,A,4.0,completed,1
STU0011,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,89,89,A,4.0,completed,1
STU0011,4,CSE 101,Design and Analysis of Algorithms,4,core,95,81,A+,4.0,current,1
STU0011,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,94,84,A+,4.0,current,1
STU0011,4,CSE 110,Software Engineering,4,core,95,87,A+,4.0,current,1
STU0011,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,85,100,A,4.0,current,1
STU0012,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,54,75,C-,1.7,completed,1
STU0012,1,CSE 5A,Introduction to Programming I,4,core,73,81,B,3.0,completed,1
STU0012,1,MATH 18,Linear Algebra,4,math,78,80,B+,3.3,completed,1
STU0012,1,MATH 20A,Calculus for Science and Engineering,4,math,60,75,C+,2.3,completed,1
STU0012,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,77,73,B+,3.3,completed,1
STU0012,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,82,88,A-,3.7,completed,1
STU0012,2,CSE 20,Discrete Mathematics,4,math,75,79,B+,3.3,completed,1
STU0012,2,CSE 21,Mathematics for Algorithms and Systems,4,core,79,87,B+,3.3,completed,1
STU0012,2,MATH 20B,Calculus for Science and Engineering,4,math,78,100,B+,3.3,completed,1
STU0012,3,CSE 100,Advanced Data Structures,4,core,76,75,B+,3.3,completed,1
STU0012,3,CSE 30,Computer Organization and Systems Programming,4,core,75,85,B+,3.3,completed,1
STU0012,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,64,74,C+,2.3,completed,1
STU0012,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,69,73,B-,2.7,completed,1
STU0012,4,CSE 101,Design and Analysis of Algorithms,4,core,74,76,B,3.0,completed,1
STU0012,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,84,89,A-,3.7,completed,1
STU0012,4,CSE 110,Software Engineering,4,core,80,84,A-,3.7,completed,1
STU0012,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,63,81,C+,2.3,completed,1
STU0012,5,CSE 130,Programming Languages: Principles and Paradigms,4,systems,68,84,B-,2.7,completed,1
STU0012,5,CSE 132A,Database System Principles,4,database,66,88,B-,2.7,completed,1
STU0012,5,DSC 80,The Practice and Application of Data Science,4,data,79,60,B+,3.3,completed,1
STU0012,5,ECE 109,Engineering Probability and Statistics,4,math,94,71,A+,4.0,completed,1
STU0012,5,MATH 183,Statistical Methods,4,math,65,79,B-,2.7,completed,1
STU0012,6,CSE 105,Theory of Computability,4,systems,80,77,A-,3.7,completed,1
STU0012,6,CSE 132B,Database Systems Applications,4,database,78,66,B+,3.3,completed,1
STU0012,6,CSE 150A,Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making,4,ai,86,76,A,4.0,completed,1
STU0012,6,CSE 151A,Introduction to Machine Learning,4,ai,60,78,C+,2.3,completed,1
STU0012,6,MATH 181A,Introduction to Mathematical Statistics I,4,math,71,89,B,3.0,completed,1
STU0012,7,CSE 124,Networked Services,4,networks,78,76,B+,3.3,current,1
STU0012,7,CSE 127,Introduction to Computer Security,4,security,86,78,A,4.0,current,1
STU0012,7,CSE 131,Compiler Construction,4,systems,65,88,B-,2.7,current,1
STU0012,7,CSE 158,Recommender Systems and Web Mining,4,ai,61,86,C+,2.3,current,1
STU0012,7,MATH 188,Algebraic Combinatorics,4,math,76,84,B+,3.3,current,1
STU0013,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,98,81,A+,4.0,completed,1
STU0013,1,CSE 5A,Introduction to Programming I,4,core,71,90,B,3.0,completed,1
STU0013,1,MATH 18,Linear Algebra,4,math,79,83,B+,3.3,completed,1
STU0013,1,MATH 20A,Calculus for Science and Engineering,4,math,64,82,C+,2.3,completed,1
STU0013,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,86,72,A,4.0,completed,1
STU0013,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,88,100,A,4.0,completed,1
STU0013,2,CSE 20,Discrete Mathematics,4,math,66,86,B-,2.7,completed,1
STU0013,2,CSE 21,Mathematics for Algorithms and Systems,4,core,83,82,A-,3.7,completed,1
STU0013,2,MATH 20B,Calculus for Science and Engineering,4,math,80,91,A-,3.7,completed,1
STU0013,3,CSE 100,Advanced Data Structures,4,core,84,77,A-,3.7,completed,1
STU0013,3,CSE 30,Computer Organization and Systems Programming,4,core,72,90,B,3.0,completed,1
STU0013,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,80,100,A-,3.7,completed,1
STU0013,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,78,100,B+,3.3,completed,1
STU0013,4,CSE 101,Design and Analysis of Algorithms,4,core,79,70,B+,3.3,current,1
STU0013,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,83,96,A-,3.7,current,1
STU0013,4,CSE 110,Software Engineering,4,core,81,77,A-,3.7,current,1
STU0013,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,78,84,B+,3.3,current,1
STU0014,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,66,68,B-,2.7,completed,1
STU0014,1,CSE 5A,Introduction to Programming I,4,core,76,79,B+,3.3,completed,1
STU0014,1,MATH 18,Linear Algebra,4,math,94,84,A+,4.0,completed,1
STU0014,1,MATH 20A,Calculus for Science and Engineering,4,math,80,83,A-,3.7,completed,1
STU0014,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,80,86,A-,3.7,completed,1
STU0014,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,84,76,A-,3.7,completed,1
STU0014,2,CSE 20,Discrete Mathematics,4,math,68,76,B-,2.7,completed,1
STU0014,2,CSE 21,Mathematics for Algorithms and Systems,4,core,68,76,B-,2.7,completed,1
STU0014,2,MATH 20B,Calculus for Science and Engineering,4,math,79,94,B+,3.3,completed,1
STU0014,3,CSE 100,Advanced Data Structures,4,core,51,72,C-,1.7,completed,1
STU0014,3,CSE 30,Computer Organization and Systems Programming,4,core,65,73,B-,2.7,completed,1
STU0014,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,81,60,A-,3.7,completed,1
STU0014,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,75,78,B+,3.3,completed,1
STU0014,4,CSE 101,Design and Analysis of Algorithms,4,core,82,78,A-,3.7,completed,1
STU0014,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,64,79,C+,2.3,completed,1
STU0014,4,CSE 110,Software Engineering,4,core,63,80,C+,2.3,completed,1
STU0014,4,DSC 40B,Theoretical Foundations of Data Science II,4,data,82,72,A-,3.7,completed,1
STU0014,5,CSE 120,Principles of Computer Operating Systems,4,systems,72,69,B,3.0,completed,1
STU0014,5,CSE 123,Computer Networks,4,networks,58,86,C,2.0,completed,1
STU0014,5,CSE 130,Programming Languages: Principles and Paradigms,4,systems,67,71,B-,2.7,completed,1
STU0014,5,DSC 80,The Practice and Application of Data Science,4,data,52,67,C-,1.7,completed,1
STU0014,5,ECE 109,Engineering Probability and Statistics,4,math,71,90,B,3.0,completed,1
STU0014,6,CSE 105,Theory of Computability,4,systems,76,85,B+,3.3,current,1
STU0014,6,CSE 132B,Database Systems Applications,4,database,71,83,B,3.0,current,1
STU0014,6,CSE 150A,Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making,4,ai,81,91,A-,3.7,current,1
STU0014,6,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,4,ai,74,87,B,3.0,current,1
STU0014,6,CSE 151A,Introduction to Machine Learning,4,ai,80,60,A-,3.7,current,1
STU0015,1,CSE 11,Introduction to Computer Science and Object-Oriented Programming: Java,4,core,72,77,B,3.0,completed,1
STU0015,1,CSE 5A,Introduction to Programming I,4,core,63,88,C+,2.3,completed,1
STU0015,1,MATH 18,Linear Algebra,4,math,88,90,A,4.0,completed,1
STU0015,1,MATH 20A,Calculus for Science and Engineering,4,math,63,98,C+,2.3,completed,1
STU0015,2,CSE 12,Basic Data Structures and Object-Oriented Design,4,core,77,84,B+,3.3,completed,1
STU0015,2,CSE 15L,Software Tools and Techniques Laboratory,2,lab,83,86,A-,3.7,completed,1
STU0015,2,CSE 20,Discrete Mathematics,4,math,72,75,B,3.0,completed,1
STU0015,2,CSE 21,Mathematics for Algorithms and Systems,4,core,78,86,B+,3.3,completed,1
STU0015,2,MATH 20B,Calculus for Science and Engineering,4,math,75,64,B+,3.3,completed,1
STU0015,3,CSE 100,Advanced Data Structures,4,core,72,82,B,3.0,completed,1
STU0015,3,CSE 30,Computer Organization and Systems Programming,4,core,74,92,B,3.0,completed,1
STU0015,3,MATH 154,Discrete Mathematics and Graph Theory,4,math,87,92,A,4.0,completed,1
STU0015,3,MATH 20C,Calculus and Analytic Geometry for Science and Engineering,4,math,60,95,C+,2.3,completed,1
STU0015,4,CSE 101,Design and Analysis of Algorithms,4,core,72,68,B,3.0,current,1
STU0015,4,CSE 103,A Practical Introduction to Probability and Statistics,4,core,62,84,C+,2.3,current,1
STU0015,4,CSE 110,Software Engineering,4,core,71,79,B,3.0,current,1
